Dep_Code,Arr_Code,Dep_Date,Arr_Date,airline,baggage,flightstops,totaltime,Scrap_Date,triptype,price
DEL,DXB,8/20/2025 19:30,8/20/2025 0:00,AI,With Baggage,1,445,8/5/2025,oneway,197.23
DEL,DXB,8/20/2025 7:30,8/20/2025 0:00,AI,With Baggage,1,1190,8/5/2025,oneway,197.23
DEL,DXB,8/20/2025 19:00,8/20/2025 0:00,AI,With Baggage,1,475,8/5/2025,oneway,197.96
DEL,DXB,8/20/2025 7:00,8/20/2025 0:00,AI,With Baggage,1,1210,8/5/2025,oneway,198.62
DEL,DXB,8/20/2025 8:00,8/20/2025 0:00,AI,With Baggage,1,1145,8/5/2025,oneway,198.62
DEL,DXB,8/20/2025 20:00,8/20/2025 0:00,AI,With Baggage,1,420,8/5/2025,oneway,200.01
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,6E,With Baggage,1,450,8/5/2025,oneway,202.29
DEL,DXB,8/20/2025 10:50,8/20/2025 0:00,AI,With Baggage,1,1055,8/5/2025,oneway,203.42
DEL,DXB,8/20/2025 17:55,8/20/2025 0:00,AI,With Baggage,1,550,8/5/2025,oneway,206.94
DEL,DXB,8/20/2025 7:00,8/20/2025 0:00,KU,With Baggage,1,745,8/5/2025,oneway,207.98
DEL,DXB,8/20/2025 9:10,8/20/2025 0:00,AI,With Baggage,1,655,8/5/2025,oneway,210.23
DEL,DXB,8/20/2025 20:55,8/20/2025 0:00,AI,With Baggage,1,970,8/5/2025,oneway,210.23
DEL,DXB,8/20/2025 8:40,8/20/2025 0:00,6E,With Baggage,0,220,8/5/2025,oneway,211.94
DEL,DXB,8/20/2025 16:20,8/20/2025 0:00,RA,With Baggage,1,695,8/5/2025,oneway,212.32
DEL,DXB,8/20/2025 17:00,8/20/2025 0:00,6E,With Baggage,1,1125,8/5/2025,oneway,214.26
DEL,DXB,8/20/2025 6:35,8/20/2025 0:00,AI,With Baggage,1,810,8/5/2025,oneway,218.94
DEL,DXB,8/20/2025 18:55,8/20/2025 0:00,AI,With Baggage,1,1090,8/5/2025,oneway,218.94
DEL,DXB,8/20/2025 9:10,8/20/2025 0:00,AI,With Baggage,1,655,8/5/2025,oneway,218.97
DEL,DXB,8/20/2025 20:55,8/20/2025 0:00,AI,With Baggage,1,970,8/5/2025,oneway,218.97
DEL,DXB,8/20/2025 4:10,8/20/2025 0:00,FZ,Without Baggage,0,225,8/5/2025,oneway,219.53
